timestamp,ingestionTime,message,eventId,logStreamName
1747668573690,1747668575894,2025-05-19 15:29:33.689 UTC [39] LOG:  received fast shutdown request,38974311553340130031667437415276820540280160345180078111,ecs/db/0c7bf9c38cf74a32b30b0134eb8008b3
1747668573695,1747668575894,waiting for server to shut down....2025-05-19 15:29:33.692 UTC [39] LOG:  aborting any active transactions,38974311553451633757660090530984499131643402152709980192,ecs/db/0c7bf9c38cf74a32b30b0134eb8008b3
1747668573710,1747668575894,"2025-05-19 15:29:33.703 UTC [39] LOG:  background worker ""logical replication launcher"" (PID 46) exited with exit code 1",38974311553786144935638049878107534905733127575299686433,ecs/db/0c7bf9c38cf74a32b30b0134eb8008b3
1747668573710,1747668575894,2025-05-19 15:29:33.707 UTC [41] LOG:  shutting down,38974311553786144935638049878107534905733127575299686434,ecs/db/0c7bf9c38cf74a32b30b0134eb8008b3
1747668573728,1747668575894,2025-05-19 15:29:33.721 UTC [39] LOG:  database system is shut down,38974311554187558349211601094655177834640798082407333923,ecs/db/0c7bf9c38cf74a32b30b0134eb8008b3
1747668573806,1747668575894, done,38974311555927016474696989699694963859907370279873806372,ecs/db/0c7bf9c38cf74a32b30b0134eb8008b3
1747668573806,1747668575894,server stopped,38974311555927016474696989699694963859907370279873806373,ecs/db/0c7bf9c38cf74a32b30b0134eb8008b3
1747668573806,1747668575894,PostgreSQL init process complete; ready for start up.,38974311555927016474696989699694963859907370279873806374,ecs/db/0c7bf9c38cf74a32b30b0134eb8008b3
1747668573832,1747668575894,"2025-05-19 15:29:33.831 UTC [1] LOG:  starting PostgreSQL 13.21 on x86_64-pc-linux-musl, compiled by gcc (Alpine 14.2.0) 14.2.0, 64-bit",38974311556506835849858785901374892534996227679029297191,ecs/db/0c7bf9c38cf74a32b30b0134eb8008b3
1747668573839,1747668575894,"2025-05-19 15:29:33.838 UTC [1] LOG:  listening on IPv4 address ""0.0.0.0"", port 5432",38974311556662941066248500263365642562904766209571160104,ecs/db/0c7bf9c38cf74a32b30b0134eb8008b3
1747668573839,1747668575894,"2025-05-19 15:29:33.838 UTC [1] LOG:  listening on IPv6 address ""::"", port 5432",38974311556662941066248500263365642562904766209571160105,ecs/db/0c7bf9c38cf74a32b30b0134eb8008b3
1747668573869,1747668575894,"2025-05-19 15:29:33.844 UTC [1] LOG:  listening on Unix socket ""/var/run/postgresql/.s.PGSQL.5432""",38974311557331963422204418957611714111084217054750572586,ecs/db/0c7bf9c38cf74a32b30b0134eb8008b3
1747668573869,1747668575894,2025-05-19 15:29:33.851 UTC [54] LOG:  database system was shut down at 2025-05-19 15:29:33 UTC,38974311557331963422204418957611714111084217054750572587,ecs/db/0c7bf9c38cf74a32b30b0134eb8008b3
1747668573869,1747668575894,2025-05-19 15:29:33.856 UTC [1] LOG:  database system is ready to accept connections,38974311557331963422204418957611714111084217054750572588,ecs/db/0c7bf9c38cf74a32b30b0134eb8008b3
